,ns1:name3,ns1:coordinates,lng,lat
191,MS4-SLR-150C,"-117.2157435,33.28273372,0",-117.2157435,33.28273372
192,MS4-SLR-150C,"-117.2157435,33.28273372,0",-117.2157435,33.28273372
193,SLR-045B,"-117.1415966,33.23319315,0",-117.1415966,33.23319315
194,SLR-045B,"-117.1415966,33.23319315,0",-117.1415966,33.23319315
195,SLR-045B,"-117.1415966,33.23319315,0",-117.1415966,33.23319315
196,SLR-045B,"-117.1415966,33.23319315,0",-117.1415966,33.23319315
197,SLR-045B,"-117.1415966,33.23319315,0",-117.1415966,33.23319315
198,SLR-045B,"-117.1415966,33.23319315,0",-117.1415966,33.23319315
205,MS4-CAR-059,"-117.1875283,33.04356098,0",-117.1875283,33.04356098
206,MS4-CAR-059,"-117.1875283,33.04356098,0",-117.1875283,33.04356098
207,MS4-CAR-059,"-117.1875283,33.04356098,0",-117.1875283,33.04356098
208,MS4-CAR-059,"-117.1875283,33.04356098,0",-117.1875283,33.04356098
209,MS4-CAR-059,"-117.1875283,33.04356098,0",-117.1875283,33.04356098
210,MS4-CAR-059,"-117.1875283,33.04356098,0",-117.1875283,33.04356098
211,SDR-723,"-116.9449398,32.86744728,0",-116.9449398,32.86744728
212,SDR-723,"-116.9449398,32.86744728,0",-116.9449398,32.86744728
213,SDR-723,"-116.9449398,32.86744728,0",-116.9449398,32.86744728
214,SDR-723,"-116.9449398,32.86744728,0",-116.9449398,32.86744728
215,SDR-723,"-116.9449398,32.86744728,0",-116.9449398,32.86744728
216,SDR-723,"-116.9449398,32.86744728,0",-116.9449398,32.86744728
217,MS4-SLR-154,"-117.1534076,33.32702498,0",-117.1534076,33.32702498
218,MS4-SLR-154,"-117.1534076,33.32702498,0",-117.1534076,33.32702498
219,MS4-SLR-154,"-117.1534076,33.32702498,0",-117.1534076,33.32702498
220,MS4-SLR-154,"-117.1534076,33.32702498,0",-117.1534076,33.32702498
221,MS4-SLR-154,"-117.1534076,33.32702498,0",-117.1534076,33.32702498
222,MS4-SLR-154,"-117.1534076,33.32702498,0",-117.1534076,33.32702498
223,MS4-SDR-223,"-116.96145,32.81239,0",-116.96145,32.81239
224,MS4-SDR-223,"-116.96145,32.81239,0",-116.96145,32.81239
225,MS4-SDR-223,"-116.96145,32.81239,0",-116.96145,32.81239
226,MS4-SDR-223,"-116.96145,32.81239,0",-116.96145,32.81239
227,MS4-SDR-223,"-116.96145,32.81239,0",-116.96145,32.81239
228,MS4-SDR-223,"-116.96145,32.81239,0",-116.96145,32.81239
229,MS4-SDR-568,"-116.95884,32.81244,0",-116.95884,32.81244
230,MS4-SDR-568,"-116.95884,32.81244,0",-116.95884,32.81244
231,MS4-SDR-568,"-116.95884,32.81244,0",-116.95884,32.81244
232,MS4-SDR-568,"-116.95884,32.81244,0",-116.95884,32.81244
233,MS4-SDR-568,"-116.95884,32.81244,0",-116.95884,32.81244
234,MS4-SDR-568,"-116.95884,32.81244,0",-116.95884,32.81244
235,SDR-1024,"-116.92532,32.85671,0",-116.92532,32.85671
236,SDR-1024,"-116.92532,32.85671,0",-116.92532,32.85671
237,SDR-1024,"-116.92532,32.85671,0",-116.92532,32.85671
238,SDR-1024,"-116.92532,32.85671,0",-116.92532,32.85671
239,SDR-1024,"-116.92532,32.85671,0",-116.92532,32.85671
240,SDR-1024,"-116.92532,32.85671,0",-116.92532,32.85671
241,SDR-1031,"-116.92048,32.85103,0",-116.92048,32.85103
242,SDR-1031,"-116.92048,32.85103,0",-116.92048,32.85103
243,SDR-1031,"-116.92048,32.85103,0",-116.92048,32.85103
244,SDR-1031,"-116.92048,32.85103,0",-116.92048,32.85103
245,SDR-1031,"-116.92048,32.85103,0",-116.92048,32.85103
246,SDR-1031,"-116.92048,32.85103,0",-116.92048,32.85103
247,SDR-740,"-116.93018,32.85713,0",-116.93018,32.85713
248,SDR-740,"-116.93018,32.85713,0",-116.93018,32.85713
249,SDR-740,"-116.93018,32.85713,0",-116.93018,32.85713
250,SDR-740,"-116.93018,32.85713,0",-116.93018,32.85713
251,SDR-740,"-116.93018,32.85713,0",-116.93018,32.85713
252,SDR-740,"-116.93018,32.85713,0",-116.93018,32.85713
253,SDR-751,"-116.92079,32.85316,0",-116.92079,32.85316
254,SDR-751,"-116.92079,32.85316,0",-116.92079,32.85316
255,SDR-751,"-116.92079,32.85316,0",-116.92079,32.85316
256,SDR-751,"-116.92079,32.85316,0",-116.92079,32.85316
257,SDR-751,"-116.92079,32.85316,0",-116.92079,32.85316
258,SDR-751,"-116.92079,32.85316,0",-116.92079,32.85316
259,SDR-772,"-116.9006614,32.83196377,0",-116.9006614,32.83196377
260,SDR-772,"-116.9006614,32.83196377,0",-116.9006614,32.83196377
261,SDR-772,"-116.9006614,32.83196377,0",-116.9006614,32.83196377
262,SDR-772,"-116.9006614,32.83196377,0",-116.9006614,32.83196377
263,SDR-772,"-116.9006614,32.83196377,0",-116.9006614,32.83196377
264,SDR-772,"-116.9006614,32.83196377,0",-116.9006614,32.83196377
265,SDR-780,"-116.89258,32.83635,0",-116.89258,32.83635
266,SDR-780,"-116.89258,32.83635,0",-116.89258,32.83635
267,SDR-780,"-116.89258,32.83635,0",-116.89258,32.83635
268,SDR-780,"-116.89258,32.83635,0",-116.89258,32.83635
269,SDR-780,"-116.89258,32.83635,0",-116.89258,32.83635
270,SDR-780,"-116.89258,32.83635,0",-116.89258,32.83635
271,SDR-821,"-116.82575,32.85904,0",-116.82575,32.85904
272,SDR-821,"-116.82575,32.85904,0",-116.82575,32.85904
273,SDR-821,"-116.82575,32.85904,0",-116.82575,32.85904
274,SDR-821,"-116.82575,32.85904,0",-116.82575,32.85904
275,SDR-821,"-116.82575,32.85904,0",-116.82575,32.85904
276,SDR-821,"-116.82575,32.85904,0",-116.82575,32.85904
277,SDR-939,"-116.89619,32.83164,0",-116.89619,32.83164
278,SDR-939,"-116.89619,32.83164,0",-116.89619,32.83164
279,SDR-939,"-116.89619,32.83164,0",-116.89619,32.83164
280,SDR-939,"-116.89619,32.83164,0",-116.89619,32.83164
281,SDR-939,"-116.89619,32.83164,0",-116.89619,32.83164
282,SDR-939,"-116.89619,32.83164,0",-116.89619,32.83164
283,MS4-SMG-015,"-117.253473,33.37459706,0",-117.253473,33.37459706
284,MS4-SMG-015,"-117.253473,33.37459706,0",-117.253473,33.37459706
285,MS4-SMG-015,"-117.253473,33.37459706,0",-117.253473,33.37459706
286,MS4-SMG-015,"-117.253473,33.37459706,0",-117.253473,33.37459706
287,MS4-SMG-015,"-117.253473,33.37459706,0",-117.253473,33.37459706
288,MS4-SMG-015,"-117.253473,33.37459706,0",-117.253473,33.37459706
289,MS4-SMG-021,"-117.2532631,33.37459148,0",-117.2532631,33.37459148
290,MS4-SMG-021,"-117.2532631,33.37459148,0",-117.2532631,33.37459148
291,MS4-SMG-021,"-117.2532631,33.37459148,0",-117.2532631,33.37459148
292,MS4-SMG-021,"-117.2532631,33.37459148,0",-117.2532631,33.37459148
293,MS4-SMG-021,"-117.2532631,33.37459148,0",-117.2532631,33.37459148
294,MS4-SMG-021,"-117.2532631,33.37459148,0",-117.2532631,33.37459148
295,MS4-SMG-024,"-117.2564801,33.3720116,0",-117.2564801,33.3720116
296,MS4-SMG-024,"-117.2564801,33.3720116,0",-117.2564801,33.3720116
297,MS4-SMG-024,"-117.2564801,33.3720116,0",-117.2564801,33.3720116
298,MS4-SMG-024,"-117.2564801,33.3720116,0",-117.2564801,33.3720116
299,MS4-SMG-024,"-117.2564801,33.3720116,0",-117.2564801,33.3720116
300,MS4-SMG-024,"-117.2564801,33.3720116,0",-117.2564801,33.3720116
301,MS4-SLR-160,"-117.2406778,33.34572573,0",-117.2406778,33.34572573
302,MS4-SLR-160,"-117.2406778,33.34572573,0",-117.2406778,33.34572573
303,MS4-SLR-160,"-117.2406778,33.34572573,0",-117.2406778,33.34572573
304,MS4-SLR-160,"-117.2406778,33.34572573,0",-117.2406778,33.34572573
305,MS4-SLR-160,"-117.2406778,33.34572573,0",-117.2406778,33.34572573
306,MS4-SLR-160,"-117.2406778,33.34572573,0",-117.2406778,33.34572573
307,MS4-SLR-156,"-117.2331319,33.35458398,0",-117.2331319,33.35458398
308,MS4-SLR-156,"-117.2331319,33.35458398,0",-117.2331319,33.35458398
309,MS4-SLR-156,"-117.2331319,33.35458398,0",-117.2331319,33.35458398
310,MS4-SLR-156,"-117.2331319,33.35458398,0",-117.2331319,33.35458398
311,MS4-SLR-156,"-117.2331319,33.35458398,0",-117.2331319,33.35458398
312,MS4-SLR-156,"-117.2331319,33.35458398,0",-117.2331319,33.35458398
313,MS4-SMG-062,"-117.2534843,33.37365268,0",-117.2534843,33.37365268
314,MS4-SMG-062,"-117.2534843,33.37365268,0",-117.2534843,33.37365268
315,MS4-SMG-062,"-117.2534843,33.37365268,0",-117.2534843,33.37365268
316,MS4-SMG-062,"-117.2534843,33.37365268,0",-117.2534843,33.37365268
317,MS4-SMG-062,"-117.2534843,33.37365268,0",-117.2534843,33.37365268
318,MS4-SMG-062,"-117.2534843,33.37365268,0",-117.2534843,33.37365268
319,MS4-SDG-074,"-117.106699,33.01892855,0",-117.106699,33.01892855
320,MS4-SDG-074,"-117.106699,33.01892855,0",-117.106699,33.01892855
321,MS4-SDG-074,"-117.106699,33.01892855,0",-117.106699,33.01892855
322,MS4-SDG-074,"-117.106699,33.01892855,0",-117.106699,33.01892855
323,MS4-SDG-074,"-117.106699,33.01892855,0",-117.106699,33.01892855
324,MS4-SDG-074,"-117.106699,33.01892855,0",-117.106699,33.01892855
325,MS4-SDR-036,"-116.87157,32.84686,0",-116.87157,32.84686
326,MS4-SDR-036,"-116.87157,32.84686,0",-116.87157,32.84686
327,MS4-SDR-036,"-116.87157,32.84686,0",-116.87157,32.84686
328,MS4-SDR-036,"-116.87157,32.84686,0",-116.87157,32.84686
329,MS4-SDR-036,"-116.87157,32.84686,0",-116.87157,32.84686
330,MS4-SDR-036,"-116.87157,32.84686,0",-116.87157,32.84686
331,MS4-SDR-041,"-116.91325,32.84002,0",-116.91325,32.84002
332,MS4-SDR-041,"-116.91325,32.84002,0",-116.91325,32.84002
333,MS4-SDR-041,"-116.91325,32.84002,0",-116.91325,32.84002
334,MS4-SDR-041,"-116.91325,32.84002,0",-116.91325,32.84002
335,MS4-SDR-041,"-116.91325,32.84002,0",-116.91325,32.84002
336,MS4-SDR-041,"-116.91325,32.84002,0",-116.91325,32.84002
337,MS4-SDR-064,"-116.94477,32.86207,0",-116.94477,32.86207
338,MS4-SDR-064,"-116.94477,32.86207,0",-116.94477,32.86207
339,MS4-SDR-064,"-116.94477,32.86207,0",-116.94477,32.86207
340,MS4-SDR-064,"-116.94477,32.86207,0",-116.94477,32.86207
341,MS4-SDR-064,"-116.94477,32.86207,0",-116.94477,32.86207
342,MS4-SDR-064,"-116.94477,32.86207,0",-116.94477,32.86207
343,MS4-SDR-097,"-116.92034,32.85077,0",-116.92034,32.85077
344,MS4-SDR-097,"-116.92034,32.85077,0",-116.92034,32.85077
345,MS4-SDR-097,"-116.92034,32.85077,0",-116.92034,32.85077
346,MS4-SDR-097,"-116.92034,32.85077,0",-116.92034,32.85077
347,MS4-SDR-097,"-116.92034,32.85077,0",-116.92034,32.85077
348,MS4-SDR-097,"-116.92034,32.85077,0",-116.92034,32.85077
349,MS4-SDG-072,"-117.1066417,33.01900054,0",-117.1066417,33.01900054
350,MS4-SDG-072,"-117.1066417,33.01900054,0",-117.1066417,33.01900054
351,MS4-SDG-072,"-117.1066417,33.01900054,0",-117.1066417,33.01900054
352,MS4-SDG-072,"-117.1066417,33.01900054,0",-117.1066417,33.01900054
353,MS4-SDG-072,"-117.1066417,33.01900054,0",-117.1066417,33.01900054
354,MS4-SDG-072,"-117.1066417,33.01900054,0",-117.1066417,33.01900054
355,MS4-SDR-207,"-116.9053091,32.83269023,0",-116.9053091,32.83269023
356,MS4-SDR-207,"-116.9053091,32.83269023,0",-116.9053091,32.83269023
357,MS4-SDR-207,"-116.9053091,32.83269023,0",-116.9053091,32.83269023
358,MS4-SDR-207,"-116.9053091,32.83269023,0",-116.9053091,32.83269023
359,MS4-SDR-207,"-116.9053091,32.83269023,0",-116.9053091,32.83269023
360,MS4-SDR-207,"-116.9053091,32.83269023,0",-116.9053091,32.83269023
361,MS4-SDR-228,"-116.9216,32.86917,0",-116.9216,32.86917
362,MS4-SDR-228,"-116.9216,32.86917,0",-116.9216,32.86917
363,MS4-SDR-228,"-116.9216,32.86917,0",-116.9216,32.86917
364,MS4-SDR-228,"-116.9216,32.86917,0",-116.9216,32.86917
365,MS4-SDR-228,"-116.9216,32.86917,0",-116.9216,32.86917
366,MS4-SDR-228,"-116.9216,32.86917,0",-116.9216,32.86917
367,MS4-SWT-019,"-117.0218462,32.6672494,0",-117.0218462,32.6672494
368,MS4-SWT-019,"-117.0218462,32.6672494,0",-117.0218462,32.6672494
369,MS4-SWT-019,"-117.0218462,32.6672494,0",-117.0218462,32.6672494
370,MS4-SWT-019,"-117.0218462,32.6672494,0",-117.0218462,32.6672494
371,MS4-SWT-019,"-117.0218462,32.6672494,0",-117.0218462,32.6672494
372,MS4-SWT-019,"-117.0218462,32.6672494,0",-117.0218462,32.6672494
373,MS4-SWT-030,"-116.9834604,32.72663248,0",-116.9834604,32.72663248
374,MS4-SWT-030,"-116.9834604,32.72663248,0",-116.9834604,32.72663248
375,MS4-SWT-030,"-116.9834604,32.72663248,0",-116.9834604,32.72663248
376,MS4-SWT-030,"-116.9834604,32.72663248,0",-116.9834604,32.72663248
377,MS4-SWT-030,"-116.9834604,32.72663248,0",-116.9834604,32.72663248
378,MS4-SWT-030,"-116.9834604,32.72663248,0",-116.9834604,32.72663248
379,MS4-SWT-055,"-117.0113475,32.74139623,0",-117.0113475,32.74139623
380,MS4-SWT-055,"-117.0113475,32.74139623,0",-117.0113475,32.74139623
381,MS4-SWT-055,"-117.0113475,32.74139623,0",-117.0113475,32.74139623
382,MS4-SWT-055,"-117.0113475,32.74139623,0",-117.0113475,32.74139623
383,MS4-SWT-055,"-117.0113475,32.74139623,0",-117.0113475,32.74139623
384,MS4-SWT-055,"-117.0113475,32.74139623,0",-117.0113475,32.74139623
385,MS4-SWT-055A,"-117.0126599,32.75058256,0",-117.0126599,32.75058256
386,MS4-SWT-055A,"-117.0126599,32.75058256,0",-117.0126599,32.75058256
387,MS4-SWT-055A,"-117.0126599,32.75058256,0",-117.0126599,32.75058256
388,MS4-SWT-055A,"-117.0126599,32.75058256,0",-117.0126599,32.75058256
389,MS4-SWT-055A,"-117.0126599,32.75058256,0",-117.0126599,32.75058256
390,MS4-SWT-055A,"-117.0126599,32.75058256,0",-117.0126599,32.75058256
