Datetime,Comments,Datetime_after,Flow_gpm_1,Flow_gpm_2,Flow_gpm_3,Flow_predicted (gpm),GPM,Level (inches),Level_above_V_in_After,Level_above_V_in_Before,Manual Level_in,Manual Measurement (inches),SITE ID,V-notch weir equation (gpm),calculated offset,Level_in,Level_in_clipped,Vnotch(in),CrestWidth(in),Flow (gpm),Flow (gpm) no stormflow,Flow (gpm) USBR,Flow (gpm) USBR no stormflow,Flow (gpm) CTRSC,Flow (gpm) CTRSC no stormflow
2017-04-28 10:30:00,,,1.65707764873,,,,,,,,,,SDR-036,1.248,,,,,,,,,,,
2017-04-28 10:30:00,,,,,,,,,,0.79402,-0.311,,SDR-036,,1.10502,,,,,,,,,,
2017-05-11 11:05:00,,,3.29686405244,,,,,,,,,,SDR-036,2.194,,0.85,0.85,6.0,43.0,1.498,1.498,1.498,1.498,1.498,1.498
2017-05-11 11:05:00,,,,,,,,,,0.992525,2.496,,SDR-036,,-1.503475,0.85,0.85,6.0,43.0,1.498,1.498,1.498,1.498,1.498,1.498
2017-05-30 10:40:00,,,1.31557555939,,,,,,,,,,SDR-036,0.398,,0.57,0.57,6.0,43.0,0.552,0.552,0.552,0.552,0.552,0.552
2017-05-30 10:40:00,,,,,,,,,,0.5,2.221,,SDR-036,,-1.721,0.57,0.57,6.0,43.0,0.552,0.552,0.552,0.552,0.552,0.552
2017-06-08 11:45:00,,,0.93516816872,,,,,,,,,,SDR-036,0.398,,5.5,,6.0,43.0,160.306,,160.306,,160.306,
2017-06-08 11:45:00,,,,,,,,,,0.5,7.145,,SDR-036,,-6.645,5.5,,6.0,43.0,160.306,,160.306,,160.306,
2017-06-21 10:00:00,,,0.00990644246525,,,,,,,,,,SDR-036,0.011,,0.0,0.0,6.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-06-21 10:00:00,,,,,,,,,,0.125,1.567,,SDR-036,,-1.442,0.0,0.0,6.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-07-06 12:15:00,,,0.0,,,,,,,,,,SDR-036,0.0,,,,6.0,43.0,,,,,,
2017-07-10 14:20:00,,,0.0,,,,,,,,,,SDR-036,0.0,,0.0,0.0,6.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-07-10 14:20:00,,,,,,,,,,0.0,-4.572,,SDR-036,,4.572,0.0,0.0,6.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-07-20 10:40:00,,,0.0,,,,,,,,,,SDR-036,0.0,,0.0,0.0,6.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-07-20 10:40:00,,,,,,,,,,0.0,0.953,,SDR-036,,-0.953,0.0,0.0,6.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-08-03 10:15:00,,,0.0,,,,,,,,,,SDR-036,0.0,,0.0,,6.0,43.0,0.0,,0.0,,0.0,
2017-08-03 10:15:00,,,,,,,,,,0.0,0.894,,SDR-036,,-0.894,0.0,,6.0,43.0,0.0,,0.0,,0.0,
2017-08-17 12:55:00,,,0.0,,,,,,,,,,SDR-036,0.0,,0.0,0.0,6.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-08-17 12:55:00,,,,,,,,,,0.0,0.747,,SDR-036,,-0.747,0.0,0.0,6.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-08-31 12:00:00,,,0.0,,,,,,,,,,SDR-036,0.0,,0.0,0.0,6.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-08-31 12:00:00,,,,,,,,,,0.0,0.385,,SDR-036,,-0.385,0.0,0.0,6.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-09-19 14:00:00,,,0.0,,,,,,,,,,SDR-036,0.0,,0.0,0.0,6.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-09-19 14:00:00,,,,,,,,,,0.0,-2.468,,SDR-036,,2.468,0.0,0.0,6.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-10-03 10:40:00,,,0.0,,,,,,,,,,SDR-036,0.0,,,,,,,,,,,
2017-10-03 10:40:00,,,,,,,,,,0.0,-0.193,,SDR-036,,0.193,,,,,,,,,,
2018-05-14 10:35:00,,,0.0,,,,,,,,,,SDR-036,,,0.0,0.0,6.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-05-14 10:35:00,,2018-05-14 10:40:00,,,,,,,,0.0,2.55905,,SDR-036,,-2.55905,0.0,0.0,6.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-05-25 12:00:00,,,0.528343598147,,,,,,,,,,SDR-036,,,0.48,0.48,6.0,44.0,0.359,0.359,0.359,0.359,0.359,0.359
2018-05-25 12:00:00,,2018-05-25 12:05:00,,,,,,,,0.472440944882,3.26771,,SDR-036,,-2.79526905512,0.48,0.48,6.0,44.0,0.359,0.359,0.359,0.359,0.359,0.359
2018-06-12 07:50:00,,2018-06-12 07:55:00,,,,,,,,-1.10236220472,1.73228,,SDR-036,,-2.83464220472,0.0,0.0,6.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-06-25 10:40:00,,2018-06-25 10:45:00,,,,,,,,-0.511811023622,2.24409,,SDR-036,,-2.75590102362,0.0,0.0,6.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-07-10 13:15:00,,2018-07-10 13:20:00,,,,,,,,-1.88976377953,0.94488,,SDR-036,,-2.83464377953,0.0,0.0,6.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-07-24 10:40:00,,,0.0,,,,,,,,,,SDR-036,,,0.05,0.05,6.0,44.0,0.001,0.001,0.001,0.001,0.001,0.001
2018-07-24 10:40:00,,2018-07-24 10:45:00,,,,,,,,0.0,2.83464,,SDR-036,,-2.83464,0.05,0.05,6.0,44.0,0.001,0.001,0.001,0.001,0.001,0.001
2018-08-07 09:30:00,,2018-08-07 09:35:00,,,,,,,,-0.472440944882,2.12598,,SDR-036,,-2.59842094488,0.0,0.0,6.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-08-21 09:30:00,,2018-08-21 09:35:00,,,,,,,,0.0,2.83464,,SDR-036,,-2.83464,0.05,0.05,6.0,44.0,0.001,0.001,0.001,0.001,0.001,0.001
2018-09-05 08:00:00,,2018-09-05 08:05:00,,,,,,,,0.0,2.91338,,SDR-036,,-2.91338,0.13,0.13,6.0,44.0,0.014,0.014,0.014,0.014,0.014,0.014
2018-09-18 07:55:00,,2018-09-18 08:00:00,,,,,,,,0.0,2.87401,,SDR-036,,-2.87401,0.09,0.09,6.0,44.0,0.005,0.005,0.005,0.005,0.005,0.005
2018-09-27 14:00:00,,2018-09-27 14:05:00,,,,,,,,,1.02362,,SDR-036,,,0.0,0.0,6.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0
