Datetime,Comments,Datetime_after,Flow_gpm_1,Flow_gpm_2,Flow_gpm_3,Flow_predicted (gpm),Level (inches),Level_above_V_in_After,Level_above_V_in_Before,Manual Level_in,Manual Measurement (inches),SITE ID,Unnamed: 2,Unnamed: 3,V-notch weir equation (gpm),calculated offset,Level_in,Level_in_clipped,Vnotch(in),CrestWidth(in),Flow (gpm),Flow (gpm) no stormflow,Flow (gpm) USBR,Flow (gpm) USBR no stormflow,Flow (gpm) CTRSC,Flow (gpm) CTRSC no stormflow
2015-09-02 12:10:00,"Manual measurement: 0""",,,,,0.0,0.0,,,,0.0,,,,,,0.0,0.0,6.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-09-16 09:25:00,"Manual measurement: 0.625""",,,,,0.734001015059,0.625,,,,0.625,,,,,,0.63,,6.0,48.0,0.709,,0.709,,0.709,
2016-05-24 13:20:00,,,0.12,,,,,,,,,,,,,,0.0,0.0,6.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-06-22 11:55:00,,,9.509,,,,,,,,,,,`,,,0.0,0.0,6.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-07-25 13:25:00,,,1.209,,,,,,,,,,,,,,0.05,0.05,6.0,48.0,0.001,0.001,0.001,0.001,0.001,0.001
2016-08-05 09:20:00,,,4.009,,,,,,,,,,,,,,0.0,0.0,6.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-08-29 11:55:00,,,1.06,,,,,,,,,,,,,,0.0,0.0,6.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-10-04 09:50:00,,,3.475,,,,,,,,,,,,,,,,,,,,,,,
2017-04-28 13:10:00,,,1.74353387388,,,,,,,,,HST01,,,1.588,,,,,,,,,,,
2017-04-28 13:10:00,,,,,,,,,0.875,-8.785,,HST01,,,,9.66,,,,,,,,,,
2017-05-10 08:50:00,,,8.58684624139,,,,,,,,,HST01,,,7.059,,0.0,,6.0,48.0,0.0,,0.0,,0.0,
2017-05-10 08:50:00,,,,,,,,,1.574804,-1.598,,HST01,,,,3.172804,0.0,,6.0,48.0,0.0,,0.0,,0.0,
2017-05-10 10:45:00,,,2.81612267362,,,,,,,,,HST01,,,2.194,,1.81,,6.0,48.0,10.052,,10.052,,10.052,
2017-05-10 10:45:00,,,,,,,,,0.992525,0.96,,HST01,,,,0.032525,1.81,,6.0,48.0,10.052,,10.052,,10.052,
2017-05-25 08:50:00,,,0.0,,,,,,,,,HST01,,,0.0,,0.0,0.0,6.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-05-25 08:50:00,,,,,,,,,,-1.678,,HST01,,,,,0.0,0.0,6.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-06-07 09:30:00,,,0.0,,,,,,,,,HST01,,,0.0,,0.0,0.0,6.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-06-07 09:30:00,,,,,,,,,0.0,-1.595,,HST01,,,,1.595,0.0,0.0,6.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-06-19 09:30:00,,,0.0,,,,,,,,,HST01,,,0.0,,0.0,0.0,6.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-06-19 09:30:00,,,,,,,,,0.0,-1.313,,HST01,,,,1.313,0.0,0.0,6.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-07-06 10:00:00,,,0.0,,,,,,,,,HST01,,,0.0,,0.09,0.09,6.0,48.0,0.005,0.005,0.005,0.005,0.005,0.005
2017-07-06 10:00:00,,,,,,,,,0.0,-0.753,,HST01,,,,0.753,0.09,0.09,6.0,48.0,0.005,0.005,0.005,0.005,0.005,0.005
2017-07-20 15:15:00,,,0.0,,,,,,,,,HST01,,,0.0,,0.0,0.0,6.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-07-20 15:15:00,,,,,,,,,0.0,-1.108,,HST01,,,,1.108,0.0,0.0,6.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-08-03 12:15:00,,,0.0,,,,,,,,,HST01,,,0.0,,0.0,0.0,6.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-08-03 12:15:00,,,,,,,,,0.0,-1.077,,HST01,,,,1.077,0.0,0.0,6.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-08-17 15:20:00,,,0.0,,,,,,,,,HST01,,,0.0,,0.0,0.0,6.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-08-17 15:20:00,,,,,,,,,0.0,-1.368,,HST01,,,,1.368,0.0,0.0,6.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-08-29 14:05:00,,,0.0,,,,,,,,,HST01,,,0.0,,0.0,0.0,6.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-08-29 14:05:00,,,,,,,,,0.0,-1.0,,HST01,,,,1.0,0.0,0.0,6.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-09-19 11:45:00,,,0.0,,,,,,,,,HST01,,,0.0,,0.0,0.0,6.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-09-19 11:45:00,,,,,,,,,0.0,-1.434,,HST01,,,,1.434,0.0,0.0,6.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-10-04 03:30:00,,,0.0,,,,,,,,,HST01,,,,,,,,,,,,,,
2017-10-04 03:30:00,,,,,,,,,,-12.634,,HST01,,,,,,,,,,,,,,
2018-05-25 11:30:00,,,0.0,,,,,,,,,HST01,,,,,0.0,0.0,6.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-05-25 11:30:00,,,0.0,,,,,,,,,HST01,,,,,0.0,0.0,6.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-05-25 11:30:00,,2018-05-25 11:35:00,,,,,,,-5.5,-0.163,,HST01,,,,-5.337,0.0,0.0,6.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-05-25 11:30:00,,2018-05-25 11:35:00,,,,,,,-5.5,-0.163,,HST01,,,,-5.337,0.0,0.0,6.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-06-12 12:00:00,,,,,,,,,,,,HST01,,,,,0.0,0.0,6.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-06-12 12:00:00,,2018-06-12 12:05:00,,,,,,,0.0,-0.055,,HST01,,,,0.055,0.0,0.0,6.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-06-26 13:50:00,,,,,,,,,,,,HST01,,,,,0.0,0.0,6.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-06-26 13:50:00,,2018-06-26 13:55:00,,,,,,,0.0,0.083,,HST01,,,,-0.083,0.0,0.0,6.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-07-10 12:55:00,,,,,,,,,,,,HST01,,,,,0.0,0.0,6.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-07-10 12:55:00,,2018-07-10 13:00:00,,,,,,,0.0,,,HST01,,,,,0.0,0.0,6.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-07-23 12:10:00,,,0.0,,,,,,,,,HST01,,,,,0.0,0.0,6.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-07-23 12:10:00,,2018-07-23 12:15:00,,,,,,,0.0,0.197,,HST01,,,,-0.197,0.0,0.0,6.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-08-06 13:00:00,,,,,,,,,,,,HST01,,,,,0.0,0.0,6.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-08-06 13:00:00,,,,,,,,,,,,HST01,,,,,0.0,0.0,6.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-08-06 13:00:00,,,,,,,,,,,,HST01,,,,,0.0,0.0,6.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-08-06 13:00:00,,2018-08-06 13:05:00,,,,,,,0.0,0.399,,HST01,,,,-0.399,0.0,0.0,6.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-08-06 13:00:00,,2018-08-06 13:05:00,,,,,,,0.0,0.399,,HST01,,,,-0.399,0.0,0.0,6.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-08-06 13:00:00,,2018-08-06 13:05:00,,,,,,,0.0,0.399,,HST01,,,,-0.399,0.0,0.0,6.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-08-21 13:20:00,,,0.0,,,,,,,,,HST01,,,,,0.0,0.0,6.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-08-21 13:20:00,,2018-08-21 13:25:00,,,,,,,0.0,-0.064,,HST01,,,,0.064,0.0,0.0,6.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-09-05 12:05:00,,,,,,,,,,,,HST01,,,,,0.0,0.0,6.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-09-05 12:05:00,,2018-09-05 12:10:00,,,,,,,0.0,-0.186,,HST01,,,,0.186,0.0,0.0,6.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-09-18 11:45:00,,,0.0,,,,,,,,,HST01,,,,,0.0,0.0,6.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-09-18 11:45:00,,,0.0,,,,,,,,,HST01,,,,,0.0,0.0,6.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-09-18 11:45:00,,2018-09-18 11:50:00,,,,,,,0.0,0.047,,HST01,,,,-0.047,0.0,0.0,6.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-09-18 11:45:00,,2018-09-18 11:50:00,,,,,,,0.0,0.047,,HST01,,,,-0.047,0.0,0.0,6.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-09-27 13:00:00,,,,,,,,,,,,HST01,,,,,0.0,0.0,6.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-09-27 13:00:00,,2018-09-27 13:05:00,,,,,,,,-0.097,,HST01,,,,,0.0,0.0,6.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0
